file_path,class
../data/GunshotOnlyDatabase/AK-12\3 (1).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (10).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (11).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (12).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (13).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (14).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (15).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (16).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (17).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (18).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (19).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (2).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (20).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (21).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (22).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (23).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (24).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (25).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (26).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (27).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (28).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (29).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (3).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (30).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (31).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (32).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (33).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (34).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (35).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (36).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (37).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (38).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (39).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (4).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (40).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (41).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (42).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (43).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (44).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (45).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (46).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (47).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (48).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (49).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (5).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (50).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (51).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (52).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (53).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (54).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (55).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (56).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (57).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (58).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (59).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (6).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (60).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (61).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (62).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (63).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (64).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (65).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (66).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (67).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (68).wav,1
